doi,source,figure_id,page_number,subplot,curve_id,curve_color,curve_label,mapping_status,formulation_label,api_name,api_concentration_value,api_concentration_unit,api_basis,api_5pct_confirmed,dosage_form,table_id,components_json,endpoint_time,endpoint_time_unit,endpoint_kind,endpoint_value_raw,endpoint_unit_raw,endpoint_value_ug_per_cm2,endpoint_unit_std,image_path,api_conc_inferred_pct,api_conc_inferred_unit,api_conc_inferred_basis,api_conc_inferred_evidence,api_5pct_confirmed_v2
10.1016/j.heliyon.2019.e02127,figure,Fig 1,4,Caffeine,cluster_1,,endpoint is closest to expected range for 30% ethanol,vision_mapped,Ibuprofen in 30% v/v ethanol,Ibuprofen,,,,False,solution,Table 1,"[{""name_raw"": ""Ethanol"", ""concentration_value"": 30.0, ""concentration_unit"": ""% v/v"", ""basis"": ""v/v"", ""remark"": """"}]",5.0,hours,amount_total,206.3512725830078,mg/mL,,,GenAI\outputs\figure_triage_images\10.1016_j.heliyon.2019.e02127__p4.jpg,,,,,False
10.1016/j.heliyon.2019.e02127,figure,Fig 1,4,Caffeine,cluster_2,,endpoint indicates a mid-range concentration,vision_mapped,Ibuprofen in 10% v/v ethanol,Ibuprofen,,,,False,solution,Table 1,"[{""name_raw"": ""Ethanol"", ""concentration_value"": 10.0, ""concentration_unit"": ""% v/v"", ""basis"": ""v/v"", ""remark"": """"}]",5.0,hours,amount_total,203.7589111328125,mg/mL,,,GenAI\outputs\figure_triage_images\10.1016_j.heliyon.2019.e02127__p4.jpg,,,,,False
10.1016/j.heliyon.2019.e02127,figure,Fig 1,4,Caffeine,cluster_3,,endpoint exceeds those found in ethanol formulations,vision_mapped,Ibuprofen in 20% v/v PG,Ibuprofen,,,,False,solution,Table 1,"[{""name_raw"": ""Propylene Glycol (PG)"", ""concentration_value"": 20.0, ""concentration_unit"": ""% v/v"", ""basis"": ""v/v"", ""remark"": """"}]",5.0,hours,amount_total,223.9792633056641,mg/mL,,,GenAI\outputs\figure_triage_images\10.1016_j.heliyon.2019.e02127__p4.jpg,,,,,False
10.1021/mp500264e,figure,fig6,5,a,cluster_1,,"The endpoint of the curve around 20.48 mg suggests a formulation with lower Ibuprofen content, aligning with Ibu–MC 4.0.",vision_mapped,Ibu–MC 4.0,,,,,False,,,,1200.0,min,amount_total,20.47768783569336,mg,,,GenAI\outputs\figure_triage_images\10.1021_mp500264e__p5.jpg,,,,,False
10.1097/opx.0000000000000849,figure,figure_2,12,A,cluster_1,,Curve aligns with components involving Ibuprofen and Hydroxypropyl Methylcellulose (HPMC) as described in the composition summary.,vision_mapped,Silicone Hydrogel Lens with Ibuprofen,Ibuprofen,,,,False,Contact lens,Table 1,"[{""name_raw"": ""Hydroxypropyl Methylcellulose (HPMC)"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""120 kDa"", ""remark"": """"}, {""name_raw"": ""Trehalose"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""remark"": ""Trehalose displayed minimal solubility until glacial acetic acid was added.""}, {""name_raw"": ""Prednisolone"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""remark"": """"}]",6.0,days,amount_total,74.42864990234375,%,,,GenAI\outputs\figure_triage_images\10.1097_opx.0000000000000849__p12.jpg,,,,,False
10.1097/opx.0000000000000849,figure,figure_2,12,A,cluster_2,,Curve aligns with components involving Ibuprofen and Hydroxypropyl Methylcellulose (HPMC) as described in the composition summary.,vision_mapped,Silicone Hydrogel Lens with Ibuprofen,Ibuprofen,,,,False,Contact lens,Table 1,"[{""name_raw"": ""Hydroxypropyl Methylcellulose (HPMC)"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""120 kDa"", ""remark"": """"}, {""name_raw"": ""Trehalose"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""remark"": ""Trehalose displayed minimal solubility until glacial acetic acid was added.""}, {""name_raw"": ""Prednisolone"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""remark"": """"}]",6.0,days,amount_total,74.42864990234375,%,,,GenAI\outputs\figure_triage_images\10.1097_opx.0000000000000849__p12.jpg,,,,,False
10.1097/opx.0000000000000849,figure,figure_2,12,A,cluster_4,,Curve aligns with components involving Ibuprofen and Hydroxypropyl Methylcellulose (HPMC) as described in the composition summary.,vision_mapped,Silicone Hydrogel Lens with Ibuprofen,Ibuprofen,,,,False,Contact lens,Table 1,"[{""name_raw"": ""Hydroxypropyl Methylcellulose (HPMC)"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": ""120 kDa"", ""remark"": """"}, {""name_raw"": ""Trehalose"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""remark"": ""Trehalose displayed minimal solubility until glacial acetic acid was added.""}, {""name_raw"": ""Prednisolone"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""remark"": """"}]",6.0,days,amount_total,74.49687194824219,%,,,GenAI\outputs\figure_triage_images\10.1097_opx.0000000000000849__p12.jpg,,,,,False
10.1208/s12249-019-1481-1,figure,Figure 2,6,a and b,cluster_1,,"The curve corresponds to the Vehicle Composition label in the summary, which matches the color and endpoint provided.",vision_mapped,Vehicle Composition,Ibuprofen,,,,False,Topical solution,Table I,"[{""name_raw"": ""PBS"", ""concentration_value"": 58.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}, {""name_raw"": ""Glycerin"", ""concentration_value"": 24.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}, {""name_raw"": ""1,3-Propanediol (1,3-PD)"", ""concentration_value"": 6.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}, {""name_raw"": ""1,3-Butanediol (1,3-BG)"", ""concentration_value"": 5.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}, {""name_raw"": ""Dipropylene Glycol (DPG)"", ""concentration_value"": 4.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}, {""name_raw"": ""Polyoxyethylene (60) Hydrogenated Castor Oil (PEG60 CAS)"", ""concentration_value"": 3.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}]",8.0,h,amount_total,381.7799682617188,µg/cm²,,,GenAI\outputs\figure_triage_images\10.1208_s12249-019-1481-1__p6.jpg,,,,,False
10.1208/s12249-019-1481-1,figure,Figure 2,6,a and b,cluster_2,,"The curve corresponds to the Vehicle Composition label in the summary, which matches the color and endpoint provided.",vision_mapped,Vehicle Composition,Ibuprofen,,,,False,Topical solution,Table I,"[{""name_raw"": ""PBS"", ""concentration_value"": 58.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}, {""name_raw"": ""Glycerin"", ""concentration_value"": 24.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}, {""name_raw"": ""1,3-Propanediol (1,3-PD)"", ""concentration_value"": 6.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}, {""name_raw"": ""1,3-Butanediol (1,3-BG)"", ""concentration_value"": 5.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}, {""name_raw"": ""Dipropylene Glycol (DPG)"", ""concentration_value"": 4.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}, {""name_raw"": ""Polyoxyethylene (60) Hydrogenated Castor Oil (PEG60 CAS)"", ""concentration_value"": 3.0, ""concentration_unit"": ""wt%"", ""basis"": ""weight/volume"", ""remark"": """"}]",8.0,h,amount_total,327.400146484375,µg/cm²,,,GenAI\outputs\figure_triage_images\10.1208_s12249-019-1481-1__p6.jpg,,,,,False
10.1208/s12249-019-1584-8,figure,figure_3,6,a,cluster_1,,Direct match with ME/Gel label in legend,vision_mapped,Ibuprofen-Loaded Microemulsion-Based HA Hydrogel (ME/Gel),Ibuprofen,,%,w/w,False,Hydrogel,Table I,"[{""name_raw"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Ethyl oleate"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Cremophor® EL (Polyoxyethylene castor oil)"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Transcutol® P (Diethylene glycol monoethyl ether)"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Hyaluronic acid (HA)"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Azone"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}]",24.0,h,amount_total,333.61993408203125,µg/cm²,,,GenAI\outputs\figure_triage_images\10.1208_s12249-019-1584-8__p6.jpg,,%,w/w,from_api_fields,False
10.1208/s12249-019-1584-8,figure,figure_3,6,a,cluster_2,,Direct match with ME/Gel label in legend,vision_mapped,Ibuprofen-Loaded Microemulsion-Based HA Hydrogel (ME/Gel),Ibuprofen,,%,w/w,False,Hydrogel,Table I,"[{""name_raw"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Ethyl oleate"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Cremophor® EL (Polyoxyethylene castor oil)"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Transcutol® P (Diethylene glycol monoethyl ether)"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Hyaluronic acid (HA)"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Azone"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}]",24.0,h,amount_total,335.3396301269531,µg/cm²,,,GenAI\outputs\figure_triage_images\10.1208_s12249-019-1584-8__p6.jpg,,%,w/w,from_api_fields,False
10.1208/s12249-019-1584-8,figure,figure_3,6,a,cluster_3,,Direct match with ME/Gel label in legend,vision_mapped,Ibuprofen-Loaded Microemulsion-Based HA Hydrogel (ME/Gel),Ibuprofen,,%,w/w,False,Hydrogel,Table I,"[{""name_raw"": ""Ibuprofen"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Ethyl oleate"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Cremophor® EL (Polyoxyethylene castor oil)"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Transcutol® P (Diethylene glycol monoethyl ether)"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Hyaluronic acid (HA)"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}, {""name_raw"": ""Azone"", ""concentration_value"": null, ""concentration_unit"": ""%"", ""basis"": ""w/w"", ""remark"": ""Concentration not specified in the table.""}]",24.0,h,amount_total,418.74462890625,µg/cm²,,,GenAI\outputs\figure_triage_images\10.1208_s12249-019-1584-8__p6.jpg,,%,w/w,from_api_fields,False
10.1248/cpb.c21-00033,figure,Figure 3,4,a,cluster_1,,The endpoint aligns with the properties of Preparation #2 having a moderate ratio of Ibuprofen.,vision_mapped,Preparation #2,Ibuprofen,0.2,molar,Molar fraction,False,IL Preparation,Table 2,"[{""name_raw"": ""Lidocaine"", ""concentration_value"": 0.2, ""concentration_unit"": ""molar"", ""basis"": ""Molar fraction"", ""remark"": """"}, {""name_raw"": ""Ibuprofen"", ""concentration_value"": 0.8, ""concentration_unit"": ""molar"", ""basis"": ""Molar fraction"", ""remark"": """"}]",8.0,hours,amount_total,41.58989715576172,µmol/cm²,,,GenAI\outputs\figure_triage_images\10.1248_cpb.c21-00033__p4.jpg,,,,,False
10.1248/cpb.c21-00033,figure,Figure 3,4,a,cluster_2,,The endpoint aligns with properties of Preparation #1 which has a slightly lower concentration of Ibuprofen.,vision_mapped,Preparation #1,Ibuprofen,0.1,molar,Molar fraction,False,IL Preparation,Table 2,"[{""name_raw"": ""Lidocaine"", ""concentration_value"": 0.1, ""concentration_unit"": ""molar"", ""basis"": ""Molar fraction"", ""remark"": """"}, {""name_raw"": ""Ibuprofen"", ""concentration_value"": 0.9, ""concentration_unit"": ""molar"", ""basis"": ""Molar fraction"", ""remark"": """"}]",8.0,hours,amount_total,33.09806823730469,µmol/cm²,,,GenAI\outputs\figure_triage_images\10.1248_cpb.c21-00033__p4.jpg,,,,,False
10.3390/mi11060554,figure,Figure 4,8,(a),cluster_1,,"The text describes hydrogel-forming MAPs as having in vitro permeation profiles, which matches the curve_id.",vision_mapped,Hydrogel-Forming MAP,Ibuprofen Sodium,40.0,% w/w,Total formulation weight,False,Patch,Table 1,"[{""name_raw"": ""Gantrez® S-97"", ""concentration_value"": 20.0, ""concentration_unit"": ""% w/w"", ""basis"": ""Total formulation weight"", ""remark"": """"}, {""name_raw"": ""Poly(ethylene glycol) 10,000 Da"", ""concentration_value"": 7.5, ""concentration_unit"": ""% w/w"", ""basis"": ""Total formulation weight"", ""remark"": """"}, {""name_raw"": ""Sodium Carbonate"", ""concentration_value"": 3.0, ""concentration_unit"": ""% w/w"", ""basis"": ""Total formulation weight"", ""remark"": """"}, {""name_raw"": ""Water"", ""concentration_value"": null, ""concentration_unit"": """", ""basis"": """", ""remark"": ""Described as qs to 100%""}]",24.0,h,amount_total,9.253846168518066,mg,,,GenAI\outputs\figure_triage_images\10.3390_mi11060554__p8.jpg,40.0,% w/w,Total formulation weight,from_api_fields,False
10.3390/polym12071473,figure,6,13,"a,b",cluster_1,,Gray curves are associated with formulations involving Acrylic Acid in the legend.,vision_mapped,Hydrogel with AA,Ibuprofen,,.,w/w,False,Hydrogel,Table 1,"[{""name_raw"": ""Chitosan"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""1%"", ""remark"": ""Constant ratio with AA""}, {""name_raw"": ""Acrylic Acid"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""1:7 (with Chitosan)"", ""remark"": ""Volume not specified.""}, {""name_raw"": ""Ammonium Persulfate"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Varied ratio in polymerization.""}, {""name_raw"": ""TEMED"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Varied ratio in polymerization.""}, {""name_raw"": ""l-Arginine"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Conjugated before optimization.""}, {""name_raw"": ""Water"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Presumed qs to 100%.""}]",600.0,min,amount_total,0.0244498252868652,mg/ml,,,GenAI\outputs\figure_triage_images\10.3390_polym12071473__p13.jpg,,,,,False
10.3390/polym12071473,figure,6,13,"a,b",cluster_2,,Gray curves are associated with formulations involving Acrylic Acid in the legend.,vision_mapped,Hydrogel with AA,Ibuprofen,,.,w/w,False,Hydrogel,Table 1,"[{""name_raw"": ""Chitosan"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""1%"", ""remark"": ""Constant ratio with AA""}, {""name_raw"": ""Acrylic Acid"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""1:7 (with Chitosan)"", ""remark"": ""Volume not specified.""}, {""name_raw"": ""Ammonium Persulfate"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Varied ratio in polymerization.""}, {""name_raw"": ""TEMED"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Varied ratio in polymerization.""}, {""name_raw"": ""l-Arginine"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Conjugated before optimization.""}, {""name_raw"": ""Water"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Presumed qs to 100%.""}]",600.0,min,amount_total,0.6772615909576416,mg/ml,,,GenAI\outputs\figure_triage_images\10.3390_polym12071473__p13.jpg,,,,,False
10.3390/polym12071473,figure,6,13,"a,b",cluster_3,,"Black curves are typically noted with Methacrylic Acid in the legend, matching with Hydrogel with AM.",vision_mapped,Hydrogel with AM,Ibuprofen,,.,w/w,False,Hydrogel,Table 1,"[{""name_raw"": ""Chitosan"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""1%"", ""remark"": ""Constant ratio with AM""}, {""name_raw"": ""Methacrylic Acid"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""1:7 (with Chitosan)"", ""remark"": ""Volume not specified.""}, {""name_raw"": ""Ammonium Persulfate"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Varied ratio in polymerization.""}, {""name_raw"": ""TEMED"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Varied ratio in polymerization.""}, {""name_raw"": ""l-Arginine"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Conjugated before optimization.""}, {""name_raw"": ""Water"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Presumed qs to 100%.""}]",600.0,min,amount_total,0.4352078437805176,mg/ml,,,GenAI\outputs\figure_triage_images\10.3390_polym12071473__p13.jpg,,,,,False
10.3390/polym12071473,figure,6,13,"a,b",cluster_4,,Gray curves are associated with formulations involving Acrylic Acid in the legend.,vision_mapped,Hydrogel with AA,Ibuprofen,,.,w/w,False,Hydrogel,Table 1,"[{""name_raw"": ""Chitosan"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""1%"", ""remark"": ""Constant ratio with AA""}, {""name_raw"": ""Acrylic Acid"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""1:7 (with Chitosan)"", ""remark"": ""Volume not specified.""}, {""name_raw"": ""Ammonium Persulfate"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Varied ratio in polymerization.""}, {""name_raw"": ""TEMED"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Varied ratio in polymerization.""}, {""name_raw"": ""l-Arginine"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Conjugated before optimization.""}, {""name_raw"": ""Water"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Presumed qs to 100%.""}]",600.0,min,amount_total,0.4352078437805176,mg/ml,,,GenAI\outputs\figure_triage_images\10.3390_polym12071473__p13.jpg,,,,,False
10.3390/polym12071473,figure,6,13,"a,b",cluster_6,,Gray curves are associated with formulations involving Acrylic Acid in the legend.,vision_mapped,Hydrogel with AA,Ibuprofen,,.,w/w,False,Hydrogel,Table 1,"[{""name_raw"": ""Chitosan"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""1%"", ""remark"": ""Constant ratio with AA""}, {""name_raw"": ""Acrylic Acid"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""1:7 (with Chitosan)"", ""remark"": ""Volume not specified.""}, {""name_raw"": ""Ammonium Persulfate"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Varied ratio in polymerization.""}, {""name_raw"": ""TEMED"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Varied ratio in polymerization.""}, {""name_raw"": ""l-Arginine"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Conjugated before optimization.""}, {""name_raw"": ""Water"", ""concentration_value"": null, ""concentration_unit"": ""."", ""basis"": ""."", ""remark"": ""Presumed qs to 100%.""}]",600.0,min,amount_total,0.4352078437805176,mg/ml,,,GenAI\outputs\figure_triage_images\10.3390_polym12071473__p13.jpg,,,,,False
