complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,restored_complexity,complexity_breakdown_str,is_pareto_front
1,10888.009,x4,0.0,x4,PySRFunction(X=>x4),(C_eth * log(t)),4,"{'operations': {'*': 1}, 'functions': {'log': 1}, 'variables': {'t': 1, 'C_eth': 1}}",False
2,3948.237,exp(x15),1.0143929417822932,exp(x15),PySRFunction(X=>exp(x15)),exp((sqrt(t))),3,"{'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 1}}",True
3,493.95618,x3 * 11.942547,2.0785776203467483,x3*11.942547,PySRFunction(X=>x3*11.942547),(t - sqrt(t) + exp(-t)) * 11.942547,10,"{'constants': ['11.942547'], 'operations': {'+': 1, '-': 2, '*': 1}, 'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 3}}",True
5,485.62988,(x13 * 11.774587) + x6,0.0085000194112688,x13*11.774587 + x6,PySRFunction(X=>x13*11.774587 + x6),((t - sqrt(t)) * 11.774587) + (exp(C_pg / C_eth)),11,"{'constants': ['11.774587'], 'operations': {'+': 1, '-': 1, '*': 1, '/': 1}, 'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
6,442.74097,x3 * (17.307146 - log(x0)),0.092461888779431,x3*(17.307146 - log(x0)),PySRFunction(X=>x3*(17.307146 - log(x0))),(t - sqrt(t) + exp(-t)) * (17.307146 - log((C_pg * C_eth))),15,"{'constants': ['17.307146'], 'operations': {'+': 1, '-': 3, '*': 2}, 'functions': {'exp': 1, 'log': 1, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 1}}",True
7,394.0322,x3 * ((x0 * -0.011395615) + 14.494929),0.1165522493511596,x3*(14.494929 + x0*(-0.011395615)),PySRFunction(X=>x3*(14.494929 + x0*(-0.011395615))),(t - sqrt(t) + exp(-t)) * (((C_pg * C_eth) * -0.011395615) + 14.494929),16,"{'constants': ['-0.011395615', '14.494929'], 'operations': {'+': 2, '-': 2, '*': 3}, 'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 1}}",True
9,363.9783,x3 * ((x6 + 13.557949) + (x16 * -0.3140663)),0.0396691906859112,x3*(x16*(-0.3140663) + x6 + 13.557949),PySRFunction(X=>x3*(x16*(-0.3140663) + x6 + 13.557949)),(t - sqrt(t) + exp(-t)) * (((exp(C_pg / C_eth)) + 13.557949) + ((C_pg) * -0.3140663)),19,"{'constants': ['13.557949', '-0.3140663'], 'operations': {'+': 3, '-': 2, '*': 2, '/': 1}, 'functions': {'exp': 2, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 2}}",True
11,355.63385,x3 * (x6 + (((x16 * x16) * -0.010709551) + 11.380359)),0.0115962800698043,x3*(x16*x16*(-0.010709551) + x6 + 11.380359),PySRFunction(X=>x3*(x16*x16*(-0.010709551) + x6 + 11.380359)),(t - sqrt(t) + exp(-t)) * ((exp(C_pg / C_eth)) + ((((C_pg) * (C_pg)) * -0.010709551) + 11.380359)),21,"{'constants': ['-0.010709551', '11.380359'], 'operations': {'+': 3, '-': 2, '*': 3, '/': 1}, 'functions': {'exp': 2, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 3}}",True
12,334.34384,(((inv(x0) * -959.7808) + (x0 * -0.03235545)) - -23.907686) * x3,0.0617317658125692,x3*(x0*(-0.03235545) - 1*(-23.907686) - 959.7808/x0),PySRFunction(X=>x3*(x0*(-0.03235545) - 1*(-23.907686) - 959.7808/x0)),(((inv((C_pg * C_eth)) * -959.7808) + ((C_pg * C_eth) * -0.03235545)) - -23.907686) * (t - sqrt(t) + exp(-t)),23,"{'constants': ['-959.7808', '-0.03235545', '-23.907686'], 'operations': {'+': 2, '-': 3, '*': 5}, 'functions': {'exp': 1, 'sqrt': 1, 'inv': 1}, 'variables': {'t': 3, 'C_eth': 2, 'C_pg': 2}}",True
13,329.49084,x3 * ((log(x0) * -13.608937) - ((inv(x0) * 2267.4011) + -96.095406)),0.0146213706632463,x3*(-13.608937*log(x0) + 96.095406 - 2267.4011/x0),PySRFunction(X=>x3*(-13.608937*log(x0) + 96.095406 - 2267.4011/x0)),(t - sqrt(t) + exp(-t)) * ((log((C_pg * C_eth)) * -13.608937) - ((inv((C_pg * C_eth)) * 2267.4011) + -96.095406)),24,"{'constants': ['-13.608937', '2267.4011', '-96.095406'], 'operations': {'+': 2, '-': 3, '*': 5}, 'functions': {'exp': 1, 'log': 1, 'sqrt': 1, 'inv': 1}, 'variables': {'t': 3, 'C_eth': 2, 'C_pg': 2}}",True
14,318.6645,x3 * (((inv(x5 + x0) * -1513.2391) + (x0 * -0.035659958)) - -25.97038),0.0334097286626361,x3*(x0*(-0.035659958) - 1*(-25.97038) - 1513.2391/(x0 + x5)),PySRFunction(X=>x3*(x0*(-0.035659958) - 1*(-25.97038) - 1513.2391/(x0 + x5))),(t - sqrt(t) + exp(-t)) * (((inv((C_pg * log(t)) + (C_pg * C_eth)) * -1513.2391) + ((C_pg * C_eth) * -0.035659958)) - -25.97038),28,"{'constants': ['-1513.2391', '-0.035659958', '-25.97038'], 'operations': {'+': 3, '-': 3, '*': 6}, 'functions': {'exp': 1, 'log': 1, 'sqrt': 1, 'inv': 1}, 'variables': {'t': 4, 'C_eth': 2, 'C_pg': 3}}",True
15,310.2639,((inv(square(x6) + x0) * -1160.1024) + ((x0 * -0.034017585) - -24.95272)) * x3,0.0267155995373205,x3*(x0*(-0.034017585) - 1*(-24.95272) - 1160.1024/(x0 + x6**2)),PySRFunction(X=>x3*(x0*(-0.034017585) - 1*(-24.95272) - 1160.1024/(x0 + x6**2))),((inv(square((exp(C_pg / C_eth))) + (C_pg * C_eth)) * -1160.1024) + (((C_pg * C_eth) * -0.034017585) - -24.95272)) * (t - sqrt(t) + exp(-t)),29,"{'constants': ['-1160.1024', '-0.034017585', '-24.95272'], 'operations': {'+': 3, '-': 3, '*': 5, '/': 1}, 'functions': {'exp': 2, 'sqrt': 1, 'inv': 1, 'square': 1}, 'variables': {'t': 3, 'C_eth': 3, 'C_pg': 3}}",False
16,308.24017,(x3 * -1491.972) * ((inv((x6 * 10.83832) + x0) + (x0 * 2.3444005e-5)) - 0.017440252),0.0065439738236292,x3*(-1491.972)*(x0*2.3444005e-5 - 1*0.017440252 + 1/(x0 + x6*10.83832)),PySRFunction(X=>x3*(-1491.972)*(x0*2.3444005e-5 - 1*0.017440252 + 1/(x0 + x6*10.83832))),((t - sqrt(t) + exp(-t)) * -1491.972) * ((inv(((exp(C_pg / C_eth)) * 10.83832) + (C_pg * C_eth)) + ((C_pg * C_eth) * 2.3444005e-5)) - 0.017440252),29,"{'constants': ['-1491.972', '10.83832', '2.3444005e-5', '-0.017440252'], 'operations': {'+': 3, '-': 2, '*': 6, '/': 1}, 'functions': {'exp': 2, 'sqrt': 1, 'inv': 1}, 'variables': {'t': 3, 'C_eth': 3, 'C_pg': 3}}",True
17,306.09705,(x3 * ((inv(x0 + (square(x6) * 1.8033673)) + (x0 * 2.7826012e-5)) - 0.021020932)) * -1156.8247,0.0069770433045276,x3*(x0*2.7826012e-5 - 1*0.021020932 + 1/(x0 + x6**2*1.8033673))*(-1156.8247),PySRFunction(X=>x3*(x0*2.7826012e-5 - 1*0.021020932 + 1/(x0 + x6**2*1.8033673))*(-1156.8247)),((t - sqrt(t) + exp(-t)) * ((inv((C_pg * C_eth) + (square((exp(C_pg / C_eth))) * 1.8033673)) + ((C_pg * C_eth) * 2.7826012e-5)) - 0.021020932)) * -1156.8247,30,"{'constants': ['1.8033673', '2.7826012e-5', '-0.021020932', '-1156.8247'], 'operations': {'+': 3, '-': 2, '*': 6, '/': 1}, 'functions': {'exp': 2, 'sqrt': 1, 'inv': 1, 'square': 1}, 'variables': {'t': 3, 'C_eth': 3, 'C_pg': 3}}",True
18,306.0171,(((x0 * 2.7852891e-5) + (inv(x0 + (square(x6) * sqrt(x8))) - 0.02103084)) * x3) * -1156.8247,0.0002612257875582,-1156.8247*x3*(2.7852891e-5*x0 - 0.02103084 + 1/(x0 + x6**2*sqrt(x8))),PySRFunction(X=>-1156.8247*x3*(2.7852891e-5*x0 - 0.02103084 + 1/(x0 + x6**2*sqrt(x8)))),((((C_pg * C_eth) * 2.7852891e-5) + (inv((C_pg * C_eth) + (square((exp(C_pg / C_eth))) * sqrt((log(t))))) - 0.02103084)) * (t - sqrt(t) + exp(-t))) * -1156.8247,32,"{'constants': ['2.7852891e-5', '-0.02103084', '-1156.8247'], 'operations': {'+': 3, '-': 2, '*': 6, '/': 1}, 'functions': {'exp': 2, 'log': 1, 'sqrt': 2, 'inv': 1, 'square': 1}, 'variables': {'t': 4, 'C_eth': 3, 'C_pg': 3}}",True
19,305.7136,(((inv(square(x6 * 1.3423092) + x0) * -1159.9733) + ((x0 * -0.032247014) - -24.176321)) * x3) + x8,0.0009922667765474,x3*(x0*(-0.032247014) - 1*(-24.176321) - 1159.9733/(x0 + 1.80179398840464*x6**2)) + x8,PySRFunction(X=>x3*(x0*(-0.032247014) - 1*(-24.176321) - 1159.9733/(x0 + 1.80179398840464*x6**2)) + x8),(((inv(square((exp(C_pg / C_eth)) * 1.3423092) + (C_pg * C_eth)) * -1159.9733) + (((C_pg * C_eth) * -0.032247014) - -24.176321)) * (t - sqrt(t) + exp(-t))) + (log(t)),34,"{'constants': ['1.3423092', '-1159.9733', '-0.032247014', '-24.176321'], 'operations': {'+': 4, '-': 3, '*': 6, '/': 1}, 'functions': {'exp': 2, 'log': 1, 'sqrt': 1, 'inv': 1, 'square': 1}, 'variables': {'t': 4, 'C_eth': 3, 'C_pg': 3}}",True
