complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,loss_norm,complexity_norm,coverage_score,physics_score,physics_detail,stability_score,generalization_score,interpretability_score,total_score
3,493.95618,x0 * 11.942617,2.0785776203467483,x0*11.942617,PySRFunction(X=>x0*11.942617),(t - sqrt(t) + exp(-t)) * 11.942617,0.022472639788688138,0.1111111111111111,0.25,0.6835,"{'ok': True, 'msg': '', 'Q0_violations': 6, 'dQdt_violations': [], 'neg_frac': [np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03)], 'subscores': {'q0_pass_frac': 0.0, 'mono_score': 0.97, 'nonneg_score': 1.0, 'nan_penalty': 1.0, 'combined': 0.6835}}",2.0785776203467483,0.5,0.5,0.8225990804170424
2,3948.237,exp(x19),1.0143929417822932,exp(x19),PySRFunction(X=>exp(x19)),exp((sqrt(t))),0.3473366817440922,0.05555555555555555,0.25,0.7000000000000001,"{'ok': True, 'msg': '', 'Q0_violations': 6, 'dQdt_violations': [], 'neg_frac': [np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)], 'subscores': {'q0_pass_frac': 0.0, 'mono_score': 1.0, 'nonneg_score': 1.0, 'nan_penalty': 1.0, 'combined': 0.7000000000000001}}",1.0143929417822932,0.5,0.5,0.6242251056723969
7,394.03223,x0 * ((x2 * -0.011393888) + 14.49453),0.1061646695787033,x0*(14.49453 + x2*(-0.011393888)),PySRFunction(X=>x0*(14.49453 + x2*(-0.011393888))),(t - sqrt(t) + exp(-t)) * (((C_pg * C_eth) * -0.011393888) + 14.49453),0.013075112495250053,0.3333333333333333,0.75,0.6835,"{'ok': True, 'msg': '', 'Q0_violations': 6, 'dQdt_violations': [], 'neg_frac': [np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03)], 'subscores': {'q0_pass_frac': 0.0, 'mono_score': 0.97, 'nonneg_score': 1.0, 'nan_penalty': 1.0, 'combined': 0.6835}}",0.1061646695787033,0.5,0.5,0.6198134335625181
5,485.62988,(x17 * 11.77437) + x12,0.0085000194112688,x12 + x17*11.77437,PySRFunction(X=>x12 + x17*11.77437),((t - sqrt(t)) * 11.77437) + (exp(C_pg / C_eth)),0.02168957795513018,0.2222222222222222,0.75,0.539,"{'ok': True, 'msg': '', 'Q0_violations': 6, 'dQdt_violations': [], 'neg_frac': [np.float64(0.01), np.float64(0.01), np.float64(0.02), np.float64(0.02), np.float64(0.0), np.float64(0.0)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02)], 'subscores': {'q0_pass_frac': 0.0, 'mono_score': 0.98, 'nonneg_score': 0.0, 'nan_penalty': 1.0, 'combined': 0.539}}",0.0085000194112688,0.5,0.5,0.6060882328850876
8,374.771,((square(x2) * -2.5380616e-5) + 13.333269) * x0,0.0501175352118752,x0*(13.333269 + x2**2*(-2.5380616e-5)),PySRFunction(X=>x0*(13.333269 + x2**2*(-2.5380616e-5))),((square((C_pg * C_eth)) * -2.5380616e-5) + 13.333269) * (t - sqrt(t) + exp(-t)),0.011263655535930603,0.3888888888888889,0.75,0.6835,"{'ok': True, 'msg': '', 'Q0_violations': 6, 'dQdt_violations': [], 'neg_frac': [np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03)], 'subscores': {'q0_pass_frac': 0.0, 'mono_score': 0.97, 'nonneg_score': 1.0, 'nan_penalty': 1.0, 'combined': 0.6835}}",0.0501175352118752,0.5,0.5,0.6033447486180585
1,10888.009,x13,0.0,x13,PySRFunction(X=>x13),(C_eth * log(t)),1.0,0.0,0.5,0.0,"{'ok': True, 'msg': '', 'Q0_violations': 6, 'dQdt_violations': [], 'neg_frac': [np.float64(0.04), np.float64(0.04), np.float64(0.04), np.float64(0.04), np.float64(0.04), np.float64(0.04)], 'nan_flag': True, 'nan_info': 'non-finite values for combo [30.0, 10.0, 20.0]', 'dQdt_violation_fractions': [np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)], 'subscores': {'q0_pass_frac': 0.0, 'mono_score': 1.0, 'nonneg_score': 0.0, 'nan_penalty': 0.0, 'combined': 0.0}}",0.0,0.5,0.5,0.375
6,438.1658,(-63.809753 / log(x8)) * x0,0.1028493924159804,-63.809753*x0/log(x8),PySRFunction(X=>-63.809753*x0/log(x8)),(-63.809753 / log((inv(C_pg * C_eth)))) * (t - sqrt(t) + exp(-t)),0.0172257333287125,0.2777777777777778,0.75,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.1028493924159804,0.5,0.5,
10,347.16757,x0 * ((sqrt(x10) * 1.9708812) + (x2 * -0.07682538)),0.0382537993625287,x0*(1.9708812*sqrt(x10) - 0.07682538*x2),PySRFunction(X=>x0*(1.9708812*sqrt(x10) - 0.07682538*x2)),(t - sqrt(t) + exp(-t)) * ((sqrt((inv(inv(C_pg * C_eth)))) * 1.9708812) + ((C_pg * C_eth) * -0.07682538)),0.008667641399004394,0.5,0.75,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0382537993625287,0.5,0.5,
11,334.33908,x0 * ((x10 * -0.032375574) + ((-960.3599 / x2) + 23.9133)),0.0376518864650519,x0*(x10*(-0.032375574) + 23.9133 - 960.3599/x2),PySRFunction(X=>x0*(x10*(-0.032375574) + 23.9133 - 960.3599/x2)),(t - sqrt(t) + exp(-t)) * (((inv(inv(C_pg * C_eth))) * -0.032375574) + ((-960.3599 / (C_pg * C_eth)) + 23.9133)),0.007461163023113554,0.5555555555555556,0.75,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0376518864650519,0.5,0.5,
12,331.29382,x0 * ((sqrt(x10) * -1.2699147) + (37.616993 + (-1401.5497 / x2))),0.0091500322370438,x0*(-1.2699147*sqrt(x10) + 37.616993 - 1401.5497/x2),PySRFunction(X=>x0*(-1.2699147*sqrt(x10) + 37.616993 - 1401.5497/x2)),(t - sqrt(t) + exp(-t)) * ((sqrt((inv(inv(C_pg * C_eth)))) * -1.2699147) + (37.616993 + (-1401.5497 / (C_pg * C_eth)))),0.007174766078581081,0.6111111111111112,0.75,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0091500322370438,0.5,0.5,
13,319.87143,(x18 + (((x10 * -0.0066809715) + 2.8179355) * x3)) * (x0 * 0.35288402),0.035086521535699,(x18 + x3*(2.8179355 + x10*(-0.0066809715)))*x0*0.35288402,PySRFunction(X=>(x18 + x3*(2.8179355 + x10*(-0.0066809715)))*x0*0.35288402),((C_eth) + ((((inv(inv(C_pg * C_eth))) * -0.0066809715) + 2.8179355) * (C_pg))) * ((t - sqrt(t) + exp(-t)) * 0.35288402),0.006100526901874252,0.6666666666666666,0.75,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.035086521535699,0.5,0.5,
14,316.78534,x0 * ((x10 * -0.08097794) + ((x18 + (sqrt(x3) * 8.821154)) + -18.900698)),0.0096947501910465,x0*(-0.08097794*x10 + x18 + 8.821154*sqrt(x3) - 18.900698),PySRFunction(X=>x0*(-0.08097794*x10 + x18 + 8.821154*sqrt(x3) - 18.900698)),(t - sqrt(t) + exp(-t)) * (((inv(inv(C_pg * C_eth))) * -0.08097794) + (((C_eth) + (sqrt((C_pg)) * 8.821154)) + -18.900698)),0.0058102900266806074,0.7222222222222222,0.75,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0096947501910465,0.5,0.5,
15,289.70157,(((x2 * -0.0385792) + sqrt(inv(24.923012 - x1) + x10)) * x0) * 1.9768325,0.0893730594570146,1.9768325*x0*(-0.0385792*x2 + sqrt(x10 + 1/(24.923012 - x1))),PySRFunction(X=>1.9768325*x0*(-0.0385792*x2 + sqrt(x10 + 1/(24.923012 - x1)))),((((C_pg * C_eth) * -0.0385792) + sqrt(inv(24.923012 - (C_pol)) + (inv(inv(C_pg * C_eth))))) * (t - sqrt(t) + exp(-t))) * 1.9768325,0.003263148247515554,0.7777777777777778,1.0,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0893730594570146,0.5,0.5,
17,264.69086,((inv((24.89669 - x1) * x3) + sqrt(x2)) + (x10 * -0.039275162)) * (x0 * 2.0531404),0.0451443725896599,2.0531404*x0*(-0.039275162*x10 + sqrt(x2) + 1/(x3*(24.89669 - x1))),PySRFunction(X=>2.0531404*x0*(-0.039275162*x10 + sqrt(x2) + 1/(x3*(24.89669 - x1)))),((inv((24.89669 - (C_pol)) * (C_pg)) + sqrt((C_pg * C_eth))) + ((inv(inv(C_pg * C_eth))) * -0.039275162)) * ((t - sqrt(t) + exp(-t)) * 2.0531404),0.0009109711182761166,0.8888888888888888,1.0,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0451443725896599,0.5,0.5,
19,255.0045,(x0 * 2.0515687) * ((inv((24.897438 - x1) * x3) + (x10 * -0.0396406)) + sqrt(x12 + x2)),0.0186406934595682,2.0515687*x0*(-0.0396406*x10 + sqrt(x12 + x2) + 1/(x3*(24.897438 - x1))),PySRFunction(X=>2.0515687*x0*(-0.0396406*x10 + sqrt(x12 + x2) + 1/(x3*(24.897438 - x1)))),((t - sqrt(t) + exp(-t)) * 2.0515687) * ((inv((24.897438 - (C_pol)) * (C_pg)) + ((inv(inv(C_pg * C_eth))) * -0.0396406)) + sqrt((exp(C_pg / C_eth)) + (C_pg * C_eth))),0.0,1.0,1.0,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0186406934595682,0.5,0.5,
